epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.24782931939053007,0.947197,0.10905212378748681,0.9716909
1,0.04957516630494364,0.9888383,0.0877242242699441,0.97634524
2,0.042154813980526284,0.9890804,0.0912935049849504,0.97403216
3,0.040777287141135196,0.9890895,0.089471424065736,0.97625506
4,0.040033518309112975,0.989174,0.09477132682099504,0.97140074
5,0.039595721745730776,0.9891559,0.09376287155308831,0.975562
6,0.039372237414262115,0.98925734,0.0974581596715924,0.97561836
7,0.03921496946666769,0.98926276,0.10329480242677666,0.9721699
8,0.03917693623375554,0.98929536,0.09434967368810189,0.97540283
9,0.03907284596744555,0.9892519,0.09942966657433182,0.97469985
10,0.0389925492740671,0.98930985,0.13076137664981144,0.9511916
11,0.038878715118963084,0.9893316,0.09406444142797583,0.97628045
