epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.4821808382834265,0.81744903,0.2897298485464224,0.91694814
1,0.2203998607738812,0.93705034,0.19181808351344007,0.93466055
2,0.18398416836805903,0.9395281,0.16775443476046056,0.94979435
3,0.1740262018498074,0.94072723,0.15328834515465828,0.95488846
4,0.16872301677495102,0.9415457,0.1504515690648442,0.95452434
5,0.16525306236887097,0.9422926,0.14867787930461254,0.95643044
6,0.16248174500805226,0.9433292,0.14869272493248353,0.95659024
7,0.15987348540079246,0.9447847,0.15139373419511565,0.9560292
8,0.1585200606278026,0.9452736,0.15376525315883505,0.9563264
9,0.15718343784458352,0.94563824,0.15849467910305504,0.9558025
10,0.15606993852437434,0.9457067,0.15899133497003143,0.95582855
11,0.15427431113165696,0.94592804,0.15634660043264828,0.95613694
12,0.15103377869309756,0.9461175,0.15959490071016885,0.9560106
13,0.14835587694847407,0.9464456,0.14955933822240547,0.9565828
14,0.1460715623348819,0.946901,0.14988632994128048,0.95683545
15,0.14457829887250806,0.94731665,0.15298240718407655,0.9522801
