epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.15576765913223606,0.9501306,0.0843403718995922,0.954226
1,0.07820313684325264,0.9719965,0.09999142053006416,0.9564236
2,0.07620641097548185,0.9722604,0.11366033604211993,0.95667344
3,0.0758479821170281,0.9722492,0.11064485300696368,0.9566716
4,0.07528861969731558,0.97233456,0.11017895765364158,0.9568124
5,0.0749383205723353,0.9723865,0.09889652782252421,0.9564567
6,0.07468006049033629,0.97242564,0.10552237883248708,0.95701844
7,0.07444538161391356,0.97245604,0.0993384153439628,0.95692706
8,0.07468224848088398,0.97240424,0.0860835320923486,0.9570464
9,0.07453420019845902,0.972428,0.0773470301487842,0.957025
10,0.07438928606967322,0.9724608,0.06827468824774312,0.9776298
11,0.07425504912508162,0.9724672,0.05913286255632952,0.98329574
12,0.07396026749097534,0.972514,0.054149356397579944,0.9834114
13,0.07378980845808757,0.97251236,0.052324081725320465,0.98336333
14,0.0735960631142756,0.9725589,0.05221098495945702,0.9831102
15,0.0735237190986175,0.9725121,0.05109258210643734,0.98302025
16,0.07371607285376224,0.97241724,0.05019944153961751,0.98297596
17,0.07361759154986183,0.9723937,0.05014058923536804,0.9826673
18,0.07352042598966363,0.97242683,0.04860100239694933,0.9828515
19,0.0733463421384959,0.97243446,0.04865248449619206,0.9826748
20,0.07320952395654934,0.9724844,0.04838019073068172,0.98228276
21,0.07310031974632797,0.97248536,0.048115426190404854,0.98248833
22,0.07294830059032766,0.9725229,0.0474588731393258,0.9830682
23,0.07284555572757678,0.97251177,0.047630761752204584,0.9826058
24,0.07272611324132294,0.9724926,0.0473445744927768,0.98247105
25,0.072557879515677,0.97252357,0.048479758869522105,0.9826645
26,0.07246676749799563,0.9725273,0.04698947056782325,0.98283887
27,0.07233854146485093,0.9725549,0.04705715866326033,0.9829223
28,0.07252523141387532,0.9724574,0.04581950416513183,0.98345053
29,0.07235939119390825,0.9724604,0.04678245182552303,0.98313445
30,0.07220142326382992,0.97251636,0.0459700325035216,0.98357594
31,0.07208709999469491,0.9725609,0.04598512438283602,0.9831074
32,0.07200702276149912,0.97260046,0.04632855107534134,0.98240256
33,0.07191577874594822,0.9726664,0.046497326743042966,0.98279506
34,0.07184341443774349,0.97270674,0.04644097928086204,0.98324543
35,0.0718158520315496,0.97270834,0.045711737643049824,0.9834575
36,0.07171780998486266,0.97280025,0.04534290292410125,0.98388314
37,0.07165796701141182,0.972809,0.045554330001928996,0.9830207
38,0.07154909027778321,0.9728434,0.0458769675045563,0.9833666
