epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.17450992498082277,0.952411,0.02044963930453896,0.99549454
1,0.01845512897344152,0.9946124,0.017098920555164095,0.99550676
2,0.01718995858304704,0.99481493,0.01702860953995812,0.9955223
3,0.01688380403684284,0.9948573,0.016947116303255783,0.9955305
4,0.016652908158785562,0.99488175,0.01690906052771453,0.99554384
5,0.01652276019513222,0.9949026,0.016801184201053785,0.99552196
6,0.016406747814097213,0.9949299,0.016712587782668806,0.99553865
7,0.01635801997659892,0.9949391,0.016725692099398753,0.9955457
8,0.01632194028947577,0.9949321,0.01658615423356669,0.99558014
9,0.01624749408956001,0.9949488,0.016754677958602537,0.9955587
10,0.016204186583868782,0.9949528,0.016696209918274554,0.99554497
11,0.01616207094670369,0.994961,0.016701995035552548,0.99559796
