epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
<<<<<<< HEAD
0,0.3094784756412667,0.88328815,0.18182966512315754,0.8954367
1,0.11540870863884706,0.9344405,0.10665385784754512,0.9581436
2,0.10549143066045724,0.93796825,0.11706738314691124,0.9318648
3,0.10407323441304893,0.93770885,0.0969250850086509,0.9629463
4,0.1027557135872551,0.93922037,0.09299733094354898,0.9632632
5,0.10197890092393413,0.9404217,0.09801529114974343,0.9623166
6,0.1015079434654182,0.94104296,0.09457955082726939,0.96278477
7,0.10124236348067059,0.9416318,0.10034388643702326,0.96027404
8,0.1015354301586533,0.94021404,0.09634164811867464,0.9622205
9,0.10125915114664479,0.94090104,0.09157193971271144,0.9631078
10,0.10089055190686878,0.94168526,0.09977647143737553,0.9597486
11,0.10072105433668585,0.941935,0.09347145512832877,0.9624188
12,0.10062735915787412,0.9421742,0.09645464762930069,0.96134746
13,0.100516851187005,0.9420235,0.10208722291787226,0.95688623
14,0.1003273924991709,0.94239503,0.09984328068678176,0.95903915
15,0.10024150629975007,0.94273764,0.09346867695908506,0.96253943
16,0.10051063587382382,0.9412962,0.0982461065704182,0.9598304
17,0.10028233378100619,0.94158447,0.10376227746772947,0.95473737
18,0.10005369234990696,0.9417904,0.09109064106153283,0.96287066
19,0.0999305094553192,0.94152313,0.1102208062373809,0.9460807
=======
0,0.3582774947031434,0.8570596,0.208641411619765,0.8905523
1,0.12052735835286639,0.9352151,0.1457536639084647,0.89827865
2,0.10556848230372462,0.9384414,0.11114032506358534,0.950317
3,0.10334241344842089,0.938529,0.0984056062844499,0.9619363
4,0.10222041265481731,0.9394666,0.09591362274495495,0.9626355
5,0.10158757394021081,0.9405628,0.09277301449782077,0.96294016
6,0.10137395429394387,0.940922,0.09663426161672423,0.96264577
7,0.10115436590648841,0.941291,0.09443069079368968,0.96323866
8,0.10123463052582538,0.94051373,0.09502443691422352,0.9630628
9,0.10126620261668938,0.94030344,0.09782137483413472,0.96179724
10,0.10101014039388873,0.9407959,0.10146651087511836,0.95784104
11,0.1008351665642378,0.94107014,0.0951506368821211,0.96295655
12,0.10054797487305205,0.94141626,0.0950989880461249,0.96290743
13,0.10048985137796133,0.941305,0.09597758317240622,0.96253943
14,0.10045308927419645,0.9416055,0.0991300129317894,0.96040696
15,0.10022915292239408,0.9419315,0.0946362512559049,0.9628236
>>>>>>> 5b92917968e61daf1b0f56b84625eff535b533fe
