epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.14381003497752823,0.96102643,0.025977482634103165,0.9949608
1,0.040566821941209225,0.986506,0.025127231177807845,0.9952629
2,0.03964700787570773,0.9865793,0.02479742439804087,0.9953037
3,0.039043741899987924,0.9866327,0.023249978348156463,0.9951895
4,0.038372107862965105,0.9866836,0.02189694645246419,0.9951785
5,0.038026046403601646,0.9867188,0.022529810783510195,0.995043
6,0.03778160866269681,0.9867521,0.022568214176941097,0.99507725
7,0.03757635937544747,0.9867755,0.021836676906532692,0.9951316
8,0.037445923510050244,0.98679245,0.021202389555127973,0.99541855
9,0.037180455860598295,0.9868161,0.02259446392576699,0.9951675
10,0.03694912403605986,0.9869043,0.02289788089822811,0.99519986
11,0.03678409602964363,0.9869649,0.02315038855037611,0.99491066
12,0.03663427213136117,0.9870532,0.02233175438243372,0.99524033
13,0.036511213191019944,0.9871309,0.022049143983005885,0.9950934
14,0.03635671956911887,0.98716927,0.02280358683792765,0.9948896
