epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.18531252552668068,0.9525329,0.15022162290317356,0.95255095
1,0.11105173303162101,0.9719042,0.13866399076760932,0.9527934
2,0.10909122543962553,0.97193474,0.14055072483439118,0.9527934
3,0.10785895972949563,0.9719925,0.14274394589186934,0.95132494
4,0.10694744728696022,0.9722094,0.15155712197663335,0.9484371
5,0.10634257601211469,0.9723388,0.15952877586769243,0.94498205
6,0.1058133984558891,0.972357,0.1833914452863484,0.9406071
7,0.10553713178046457,0.97233623,0.20185459849229984,0.9373479
8,0.10522063038751735,0.9723806,0.20677387989997956,0.9358319
9,0.1051140067319354,0.9724111,0.19105373869776116,0.9381822
10,0.10484605854343253,0.97245944,0.20531782851690764,0.9359311
11,0.1046497436893703,0.9725608,0.1929853986520967,0.93777436
