epoch,loss,sparse_categorical_accuracy
0,0.16087576756576444,0.9404982
1,0.02909153780945919,0.99252903
2,0.027123880430891714,0.9929118
3,0.02668641776193129,0.9930195
4,0.025826077116004917,0.99311817
5,0.02534218491435598,0.9933775
6,0.025063997893844402,0.99339664
7,0.0249138642823743,0.9934253
8,0.024734662888719446,0.9934401
9,0.024654968928953296,0.99357915
10,0.024454364011898995,0.99364644
11,0.024312827459133438,0.9936608
12,0.024199455876780865,0.9937303
13,0.023627852254474075,0.9938298
14,0.023202414331327678,0.9938854
15,0.023410036179222757,0.9938554
16,0.02324354725691949,0.9938798
17,0.023207632590395582,0.99386585
18,0.023104764056242018,0.99391496
19,0.02307043231695616,0.99396664
20,0.022958748935640934,0.9939945
21,0.02293293040318231,0.99400926
22,0.022755211539390006,0.99406964
23,0.02290029867931121,0.994064
24,0.02278738452585628,0.99409914
25,0.02273994461708642,0.9940596
26,0.022697248459368245,0.9940618
27,0.022833302505585122,0.99409914
28,0.022770241027817228,0.9940509
29,0.022610878132869223,0.99411875
30,0.02273264573460883,0.9940944
31,0.02242748263553558,0.9942312
32,0.022595631239359405,0.9941357
33,0.02262486204794579,0.9940987
34,0.022497952447990688,0.99421996
35,0.022517489511516192,0.99415046
36,0.022453591600670633,0.99417174
37,0.02233481714548468,0.9941991
38,0.022395907101178853,0.9942221
39,0.022638203196950077,0.9941652
40,0.022288827348852625,0.9942443
41,0.02220843781337331,0.9942082
42,0.022378026005043083,0.9942208
43,0.022389156132665285,0.99422383
44,0.02247997309261552,0.9942378
45,0.0222866784514426,0.99423605
46,0.022176098180946076,0.99429035
47,0.022207405994535186,0.9942638
48,0.02229745218558305,0.99427164
49,0.022293937162054453,0.994276
50,0.022158323910801213,0.99431074
51,0.022170933909857717,0.994286
52,0.022237880290948826,0.99428904
53,0.022192912892069865,0.9942834
54,0.02211262772619718,0.9943251
55,0.02193212718512377,0.99438155
56,0.02213873811312873,0.99427557
57,0.02212818934615721,0.9942673
58,0.022218873627497537,0.99428296
59,0.022097694687246688,0.99428946
60,0.0223002712466915,0.9942595
61,0.022333536287080645,0.99427253
62,0.022130786346454694,0.9943399
63,0.02204483897034163,0.9943846
64,0.022127521063455974,0.9943242
65,0.022091106421969615,0.99437505
