cloud_cover,lr_min,lr_max,lr_avg
<<<<<<< HEAD
10.0,1.129166841506958,1.8575022220611572,1.129166841506958
20.0,1.232692003250122,1.8721133470535278,1.232692003250122
30.0,1.3455562591552734,1.8944456577301025,1.3455562591552734
40.0,1.4571435451507568,1.8766248226165771,1.4571435451507568
50.0,1.5174611806869507,1.8793662786483765,1.5174611806869507
60.0,1.050000548362732,1.9049975872039795,1.050000548362732
70.0,0.9821435213088989,1.9049975872039795,0.9821435213088989
80.0,1.0228577852249146,1.8914262056350708,1.0228577852249146
90.0,0.9007148742675781,1.9049975872039795,0.9007148742675781
=======
10.0,1.271667242050171,1.9208357334136963,1.271667242050171
20.0,1.250961184501648,1.9086517095565796,1.250961184501648
30.0,1.197778344154358,1.873334527015686,1.197778344154358
40.0,1.161039113998413,1.8766248226165771,1.161039113998413
50.0,1.6079374551773071,1.8793662786483765,1.6079374551773071
60.0,1.2128571271896362,1.877854824066162,1.2128571271896362
70.0,1.1585716009140015,1.8914262056350708,1.1585716009140015
80.0,1.050000548362732,1.8642834424972534,1.050000548362732
90.0,1.1721429824829102,1.9185689687728882,1.1721429824829102
>>>>>>> 5b92917968e61daf1b0f56b84625eff535b533fe
