epoch,loss,sparse_categorical_accuracy
0,0.3010193568099118,0.8936666
1,0.17159901560182406,0.94412106
2,0.16321212309895206,0.94538385
3,0.1606963257499384,0.94586116
4,0.15840780564343857,0.94634956
5,0.15718974811404118,0.94659346
6,0.15636990321461242,0.946618
7,0.15574958742320164,0.94685084
8,0.1556202218625748,0.94683856
9,0.15484256398346152,0.94690627
10,0.15414933434020617,0.94704866
11,0.15376903055076907,0.9470434
12,0.1533437607185085,0.9472523
13,0.15310097539512824,0.94729316
14,0.15283031189327528,0.9473328
15,0.152741748598729,0.9473497
16,0.15297386167573324,0.9471992
17,0.15275078636602332,0.94734216
18,0.15249958991904225,0.9473941
