epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.24278415747557863,0.93391925,0.03350968584778872,0.99556893
1,0.02743232385783037,0.99456733,0.01654650810704942,0.9962738
2,0.019147200688099223,0.99480224,0.015592433720204584,0.9962031
3,0.01823834501943698,0.99492776,0.015332114719991448,0.9961842
4,0.017871920604188588,0.9950024,0.015568029185246976,0.99623764
5,0.017721312188472792,0.9950349,0.015134366634164877,0.99621004
6,0.017579707763094997,0.99505335,0.015099667266496314,0.99622554
7,0.017424996901472162,0.9950777,0.015239708387981908,0.9962031
8,0.017347276123447882,0.99508363,0.015288358954030988,0.99626005
9,0.01726567756260149,0.99509764,0.015160652824066445,0.99624795
10,0.017202636105334193,0.9951287,0.015055269854763239,0.99624795
11,0.017137515193168022,0.9951169,0.015314970584232975,0.9962497
12,0.017079752876620793,0.9951198,0.015454793016482166,0.9962359
13,0.01705452040215296,0.99515307,0.01518581404884553,0.996198
