epoch,loss,sparse_categorical_accuracy
0,0.31815674555006634,0.88502145
1,0.18437408482008028,0.9409071
2,0.17530625251555765,0.9427338
3,0.1695362743428827,0.9435614
4,0.1626051323818613,0.9443935
5,0.158015790888917,0.9453812
6,0.15618511429390103,0.9457237
7,0.15529505929038037,0.945996
8,0.15503396280512222,0.946041
9,0.1539587896932026,0.9462927
10,0.1534118739628916,0.9463019
11,0.15280132147302714,0.9464971
12,0.15243045312315984,0.9466672
13,0.15216772346477933,0.9466634
14,0.1519900959809725,0.94669694
15,0.15191344657705474,0.9466672
16,0.15202120147985437,0.946703
