epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.15536989398065826,0.9688121,0.019508406292785465,0.996004
1,0.013811456456748816,0.9963876,0.018362240778631866,0.99597955
2,0.01325896707989582,0.99645525,0.01796465177891069,0.9959106
3,0.012994172540044412,0.99648005,0.017969069826237118,0.9961886
4,0.012719201356026173,0.99656343,0.017601020694611943,0.9960407
5,0.01253289777484987,0.9965801,0.017678968799964244,0.99603623
6,0.012437601071640816,0.99656487,0.017727223215343035,0.99611187
7,0.01233602702898952,0.99661106,0.01759747318330136,0.99611187
8,0.01231368979221298,0.9966263,0.017723476644528773,0.9961352
9,0.01223808520224004,0.9966344,0.017829994834832764,0.99619746
10,0.01215906392260085,0.9966325,0.01744118116183419,0.9960907
11,0.01210075947518389,0.9966702,0.017590470996113525,0.9961441
