epoch,loss,sparse_categorical_accuracy
0,0.17936620586844487,0.94115114
1,0.12585672003963805,0.9552526
2,0.12234423452883443,0.95563424
3,0.12125610575583307,0.9555253
4,0.1199748809320902,0.9560218
5,0.11805684650503907,0.956865
6,0.11757788129921014,0.95706993
7,0.11724749978617266,0.9572073
8,0.11784436556802105,0.95688754
9,0.11717071346237967,0.95719475
10,0.1169720111297677,0.95723265
11,0.11694306342856038,0.9572475
12,0.11697604214074253,0.95741224
13,0.11665152139329207,0.95740616
14,0.1167734790462329,0.9573879
