epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.6467364670813933,0.6440141,0.4852545650773089,0.9144295
1,0.353048981045298,0.9301906,0.39023306100894106,0.9145815
2,0.27045371587437766,0.9370157,0.31978972177124904,0.91456246
3,0.22523454852058233,0.9385622,0.274094173972307,0.90981436
4,0.19906870065031476,0.9390587,0.2511940203146838,0.91087794
5,0.18378863197666379,0.9393029,0.2397962039285355,0.9142396
6,0.17423967447039934,0.9399663,0.23427524125424326,0.9185604
7,0.16872959342728355,0.94018203,0.23323058754567955,0.91920614
8,0.16573254048956274,0.9399622,0.23120601799044196,0.91994685
9,0.1630516171925017,0.9405198,0.23215225002391487,0.9202317
10,0.16147821070611218,0.9405076,0.23154002011799033,0.9200228
11,0.15977313624463402,0.9410244,0.23217576685060912,0.92090595
12,0.1586688752605431,0.94095933,0.23039425686231724,0.9216941
13,0.15657846632336486,0.9409064,0.23032770078587866,0.92157066
14,0.15614958857914787,0.9409064,0.235433201540873,0.9039647
15,0.15535509629028185,0.9410611,0.23243833458572266,0.91197
16,0.15405461165932477,0.9409471,0.23700881303050977,0.9021604
17,0.15367447625960412,0.94119537,0.23394963350569756,0.9098333
18,0.15287956243389758,0.94107735,0.24140203275482675,0.89883673
