epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.11735735580564895,0.96742386,0.052488855066830827,0.988101
1,0.012029434717879237,0.99689335,0.052311074128048606,0.9885654
2,0.01151039624706151,0.9969685,0.050497838116688766,0.9887462
3,0.011271577829800027,0.9970129,0.04982196976962353,0.98875314
4,0.011097470070327242,0.99704236,0.04971953764254891,0.98884124
5,0.01097227576334164,0.997054,0.04972090129960604,0.98868674
6,0.010913341217448577,0.9970715,0.048814423218459434,0.9887663
7,0.010865118712532559,0.9970738,0.04871833623093066,0.98871297
8,0.010870610630951497,0.9970606,0.049144496762088166,0.9886983
9,0.010817993094783892,0.99707353,0.050009055283234356,0.98838615
10,0.010802665782514041,0.99708873,0.04872341690292936,0.9887006
11,0.01078023679868073,0.99709904,0.04927198884737922,0.9887856
12,0.010755964785775835,0.997097,0.04823504669320526,0.988781
13,0.010729387820834909,0.9971043,0.049152129720975185,0.9887145
14,0.010724973110158824,0.9970967,0.049191502349617035,0.9888884
15,0.010701454760280414,0.9971043,0.04873951075433147,0.98880106
16,0.010714715908653647,0.9970967,0.04900858396288731,0.98877174
