epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.22572882234275443,0.956114,0.035924555745441414,0.9921558
1,0.039220973032981186,0.9868516,0.014589486495840298,0.99208856
2,0.03485840797722238,0.98695046,0.016350600914229418,0.99204427
3,0.03386201470229417,0.9872105,0.009950666946385583,0.9924997
4,0.03326780362413207,0.98720336,0.011550240535847607,0.9920733
5,0.03268989644146703,0.98734874,0.011177551319513616,0.99206567
6,0.03242160779797804,0.9873481,0.009442134144681263,0.99280846
7,0.032298858059408,0.98741555,0.007488032137259073,0.9974826
8,0.032220652518353946,0.9873697,0.007632332478371516,0.9971005
9,0.03197158024147763,0.98750466,0.00749241483813759,0.99722123
10,0.03187897905459224,0.98739004,0.009111180281491254,0.99268925
11,0.03171559217753548,0.98750466,0.008101346010299954,0.995572
12,0.03165181221975836,0.9875623,0.011909223863983517,0.99190974
13,0.031660644621353075,0.9874804,0.011657832871440128,0.9934107
14,0.03152535042274985,0.9875479,0.016161296843172027,0.9913916
15,0.0314364359316133,0.9875433,0.013030390854490757,0.9967367
16,0.03132380011177799,0.9876029,0.01277704442133572,0.99729306
17,0.03131784233436523,0.98753285,0.015325189109957926,0.99286807
