epoch,loss,sparse_categorical_accuracy
0,0.1271715472131225,0.9627629
1,0.031144321148518915,0.99051625
2,0.030161779484609862,0.99062294
3,0.029394010275899413,0.9907426
4,0.02874083128986384,0.9908668
5,0.0281962199271718,0.9909864
6,0.027653439966712635,0.99109143
7,0.02710719667157087,0.9912033
8,0.026690984679116313,0.9912916
9,0.026321336864601242,0.9913437
10,0.02603852114051664,0.9913977
11,0.025830268092677133,0.99141544
12,0.025627987815344512,0.9914347
13,0.025494744776990652,0.9914387
14,0.02536682381899834,0.99146193
15,0.025271509740285216,0.9914786
