epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.16476504793380856,0.9570427,0.007303787006112035,0.99895537
1,0.0369968193802377,0.99025726,0.005263382917484658,0.9990106
2,0.035224659677038424,0.99037486,0.005036049831998444,0.99904704
3,0.034276131132323424,0.99044365,0.004961232645149575,0.99906003
4,0.03369454466800939,0.9904587,0.005077951540962255,0.99909055
5,0.033356526255551015,0.9904966,0.004837733652683754,0.999086
6,0.03315438414650746,0.9905049,0.004608332002381211,0.9990867
7,0.03302959000383361,0.99050635,0.004500688053030749,0.9990945
8,0.03296789102190988,0.99050885,0.004599703918239067,0.9990685
9,0.032834915519548445,0.9905022,0.005243050076395155,0.999073
10,0.03272669694405753,0.99050605,0.004772564714032934,0.9990737
11,0.032556308824519126,0.9905225,0.004749833192221448,0.99908406
