epoch,loss,sparse_categorical_accuracy
0,0.453290986889451,0.83658653
1,0.26207230226514944,0.91247594
2,0.24868966117224076,0.91650665
3,0.2426355494345551,0.91839176
4,0.23852423140112838,0.9199115
5,0.23499910913459005,0.9209164
6,0.23274732827474426,0.9218066
7,0.23202084522148939,0.9221083
8,0.2306309118029426,0.92258084
9,0.2296134468958587,0.9225571
10,0.2291384233661127,0.92289126
11,0.22834349007493124,0.9233039
12,0.22738223869439994,0.9234585
13,0.2275385660235569,0.923562
14,0.22693889169719578,0.92365927
