training_time,cloud_cover
0.5943962772687276,10
0.5354990641276042,20
0.4703478058179221,30
0.4069225549697876,40
0.3441777626673381,50
0.2711705724398295,60
0.2069550315539042,70
0.13678671916325888,80
0.07203343709309896,90
