epoch,loss,sparse_categorical_accuracy
0,0.11610230170397622,0.9593166
1,0.030939668728795645,0.99091774
2,0.029652267189207514,0.9911091
3,0.02896017506610745,0.9912284
4,0.028257015462740412,0.99137855
5,0.027702977490558202,0.9915051
6,0.02726454092797386,0.99156696
7,0.026873394835636367,0.99157697
8,0.026520298151477103,0.9916035
9,0.026178718941883426,0.9916382
10,0.02594225565469132,0.99164355
11,0.025737108849112945,0.9916593
12,0.025605861508021938,0.99167776
13,0.02546374624834921,0.991695
14,0.025377968415140242,0.991673
15,0.025269590232245166,0.99169123
16,0.025270210656398003,0.9916826
