epoch,loss,sparse_categorical_accuracy
0,0.08471624567411477,0.97267485
1,0.04077531315647134,0.9859186
2,0.03899090370221184,0.9859838
3,0.03836179494605448,0.9860119
4,0.03764926494038342,0.98607904
5,0.037111948675915066,0.98613286
6,0.036576825782740525,0.9861895
7,0.03623684819991264,0.98626184
8,0.036288341677801664,0.9862227
9,0.03593885775473709,0.98634726
10,0.03569931499676028,0.98642
11,0.035464803393636085,0.9865114
12,0.035296431756313314,0.9865541
13,0.03515123009894033,0.9866131
14,0.0350314938126449,0.9866622
15,0.034959557951516916,0.9866951
16,0.035220668001773404,0.9866003
