epoch,loss,sparse_categorical_accuracy
0,0.4534019540922607,0.83855575
1,0.26516015409000565,0.9130748
2,0.24890968636028996,0.9148942
3,0.24315374417936558,0.9162817
4,0.2396053840910686,0.91774744
5,0.23794820648892417,0.9184819
6,0.23648200322870938,0.9192132
7,0.23462328643795644,0.92013335
8,0.23277711815456778,0.92077285
9,0.23149984417913194,0.921405
10,0.2305834206261712,0.92180353
11,0.22955189030589493,0.92217803
12,0.22878906351161749,0.9225192
13,0.22786646211979047,0.9223763
14,0.22736636609003194,0.922659
15,0.22661839743833315,0.92266005
16,0.22622458428577238,0.922564
17,0.2259679788730117,0.9226673
18,0.22516779332402911,0.9232088
19,0.22481953242230626,0.92309296
20,0.22454252756063775,0.9232203
21,0.22436057611680593,0.9233423
22,0.22365854095087448,0.923504
23,0.2235319957214213,0.9236605
24,0.22277669570388708,0.92377734
25,0.22316573203565124,0.9236532
26,0.2228065183615967,0.92381907
27,0.2222063583944461,0.924108
28,0.22183484171929613,0.92424154
29,0.22200088993055636,0.9240934
30,0.22219586689152634,0.9240496
31,0.22148542564553184,0.9241738
32,0.22116802504764657,0.92433757
33,0.221533185547052,0.9242854
34,0.2214466468138958,0.9242499
35,0.2212040068947638,0.9245149
36,0.22150587401680985,0.92435944
37,0.22123154301691922,0.9241967
38,0.22095369169666698,0.92471623
39,0.22070063025460698,0.9244304
40,0.22089022607521588,0.92457855
41,0.22093523592080164,0.92453265
42,0.22102454017566095,0.92464215
43,0.2212150039626688,0.92450345
44,0.22053906783160612,0.9248769
45,0.2203052061738484,0.9249781
46,0.21981915355703704,0.9253276
47,0.2198165296931196,0.9249447
48,0.2196231386698739,0.9251648
49,0.2197448563016609,0.92538494
50,0.21939064634451183,0.92563325
51,0.2194603253178954,0.92541
52,0.21930387090152262,0.92581475
53,0.2192724266517463,0.9255091
54,0.21940916744720715,0.9254246
55,0.21949633409902938,0.9254183
56,0.21906376346246842,0.9256572
57,0.21885816561292276,0.9257449
58,0.21905526948570112,0.9254361
59,0.21888164044262232,0.92557794
60,0.21902651420281896,0.9255404
61,0.21943726118668314,0.92547256
62,0.2187484104134686,0.92563534
63,0.21892916842825005,0.92556024
64,0.21916584491660093,0.9255915
65,0.21894081026101786,0.92536306
66,0.21899558352451057,0.92551535
67,0.21896481506415788,0.9254653
68,0.21857079082847816,0.9258221
69,0.21900118664018978,0.9257918
70,0.2184948672477838,0.9254934
71,0.21896750766394074,0.9255373
72,0.2187701496277443,0.9254778
73,0.21842562071201777,0.9256833
74,0.2186959683198679,0.9255821
75,0.21810390950293915,0.925748
76,0.2186911279814726,0.92569375
77,0.2181319203286831,0.92577094
78,0.21834375528695488,0.9256896
79,0.21802385726191528,0.925845
80,0.2184302818086704,0.9256541
81,0.21830643998464266,0.92562175
82,0.21810710213256387,0.92572504
83,0.21802123151962077,0.92573446
84,0.21755450967903867,0.92597127
85,0.21825290442338832,0.9258158
86,0.21827366091864392,0.9258909
87,0.2184890177533058,0.92564785
88,0.21833724597025309,0.92587215
89,0.21800218362369275,0.92575115
90,0.21787725168980934,0.9258346
91,0.21815437820225958,0.9258367
92,0.21775607613794115,0.92594206
93,0.21805827861197544,0.9257292
94,0.21809861273135592,0.92567706
