epoch,loss,sparse_categorical_accuracy
0,0.07843549298324616,0.98041236
1,0.018765157022764482,0.9942003
2,0.018509109698581265,0.9942662
3,0.018349466237542782,0.9942622
4,0.018170388173290836,0.9942915
5,0.01802337814728873,0.9942893
6,0.01787890851465305,0.9942967
7,0.017732504016569704,0.99429965
8,0.017592769047387335,0.99431247
9,0.01744507410857771,0.9943359
10,0.01731591950159803,0.9943467
11,0.017224439881280914,0.99438393
12,0.017156001502816525,0.99438864
13,0.017085584726374736,0.9944219
14,0.017062844133783103,0.99440926
15,0.017024762811532503,0.9944136
16,0.016965034067424535,0.99441445
17,0.016937395537456316,0.9944101
