epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.06893543060402485,0.9795148,0.016569634330200086,0.9947428
1,0.01361806092671338,0.9960692,0.01634591541319866,0.99482787
2,0.013365390514969136,0.99608076,0.015885178767147578,0.9948484
3,0.013270348600792783,0.9961034,0.01674666875759987,0.9948013
4,0.013165014537310435,0.99610543,0.015882908025313062,0.9951036
5,0.013079085115184933,0.9961176,0.016402702372538595,0.9948113
6,0.013033476141978972,0.99610674,0.016230937690906,0.9945897
7,0.012986225664050504,0.99611384,0.01574313786801696,0.99506044
8,0.012964372805659114,0.99611276,0.01615427842284193,0.9949247
9,0.012935803533751709,0.9961107,0.01626594084668256,0.994882
10,0.012910519115848156,0.9961206,0.015396213964214542,0.9951176
11,0.012868108860800977,0.99613553,0.015653582087709762,0.99502814
12,0.0128295132045513,0.9961243,0.01588302218439361,0.99501026
13,0.012803077535767501,0.99612135,0.01573995948325801,0.9950875
14,0.012765928425771315,0.9961264,0.015360244254896994,0.99506307
15,0.012732394603634312,0.996126,0.016788526622334144,0.99459624
16,0.01271888109110918,0.9961225,0.015994938890457024,0.99464816
17,0.012683503579931579,0.9961348,0.015078546524557397,0.9946739
18,0.01265497975058932,0.9961189,0.016170790728626032,0.9946704
19,0.01263229190759921,0.9961307,0.015547494982217093,0.99503076
20,0.012621141719060654,0.9961365,0.015193810801445069,0.9945827
