epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.14466209884365053,0.9466667,0.037657987988133544,0.9881008
1,0.06130817591249734,0.9798972,0.03616128649693944,0.98888063
2,0.06004532440763684,0.980032,0.03814655786315619,0.98876154
3,0.059432362974175396,0.9800753,0.03978651631039458,0.9891345
4,0.058912294154922405,0.9801379,0.0371024908544699,0.989258
5,0.05855558690092308,0.9801981,0.03719039000593018,0.9891433
6,0.05834661173806732,0.98017013,0.03796243273686662,0.9887095
7,0.05822096956636317,0.98017687,0.03730903679812182,0.9891201
8,0.05815894161664515,0.98018116,0.03699955584475795,0.98851454
9,0.05801667388473775,0.98020643,0.03705613502641386,0.98920095
10,0.05794076755515546,0.9802158,0.03668402484749821,0.989379
11,0.05785383908359294,0.9802365,0.038259640847781134,0.98892516
