epoch,loss,sparse_categorical_accuracy
0,0.14661931398894293,0.95407045
1,0.06551816499691718,0.97982764
2,0.06349128283741444,0.9803781
3,0.06267165775033148,0.9805526
4,0.061681861243092724,0.98088336
5,0.061271971532074046,0.9809215
6,0.06082684954962944,0.9809735
7,0.06044190651345356,0.9811053
8,0.06038125385076845,0.9810864
9,0.059806603202869416,0.98114765
10,0.05969801735474078,0.981191
11,0.05949094376585298,0.981296
12,0.05950126365315034,0.9813361
13,0.05921253445598018,0.98148644
14,0.05916454773949044,0.9815034
15,0.05910879005794056,0.98152477
16,0.05875957511645923,0.9816452
17,0.05776118751000845,0.98177737
18,0.05609790131923629,0.9821158
19,0.05562062224299235,0.9821984
20,0.05543140142356528,0.9822507
21,0.05513263450765041,0.98234916
22,0.05522498076830828,0.98229676
23,0.05513115757133217,0.98238915
24,0.05498220949004983,0.98234516
25,0.054733527768533366,0.982521
26,0.05491209804795147,0.98243004
27,0.05483304311628748,0.9824533
28,0.054881973188917264,0.98238367
29,0.05498278289198656,0.9823275
30,0.05488269850659751,0.9823943
31,0.054873556792954074,0.98237693
32,0.05482282100257402,0.9824177
33,0.05480786996392992,0.98246676
34,0.054736736098405375,0.9824732
35,0.054844448142264315,0.98241043
