cloud_cover,training_time
10.0,1.8606499910354615
20.0,1.6187640070915221
30.0,1.342305056254069
40.0,1.239048186937968
50.0,1.8900772690773011
60.0,1.8988791505495706
70.0,1.9068224589029947
80.0,3.294289962450663
90.0,2.4484782298405965
