epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.3104873285496916,0.88418823,0.18145764955325858,0.93965507
1,0.18276250469478775,0.9384641,0.18774402500254986,0.9394372
2,0.17318287920009293,0.9404315,0.18416918286015388,0.94753665
3,0.16804706381636808,0.9415002,0.1687886621769677,0.95424336
4,0.16362951419900618,0.9421545,0.1715146375592771,0.95363843
5,0.1612333829376636,0.94245714,0.16578541707778394,0.95452344
6,0.1595398366378024,0.94265056,0.16065985730122148,0.9547763
7,0.15810699741466205,0.9428006,0.16362264045358826,0.95423365
8,0.15738831089147154,0.94286644,0.16315590463655322,0.9543892
9,0.15634355692820204,0.9431774,0.1674284553204848,0.9516466
10,0.15562787310796233,0.94337577,0.1612496123403105,0.9539555
11,0.1550421577940911,0.94348586,0.1613275184571189,0.95435035
12,0.15449002654240157,0.94374675,0.16173795792482057,0.9541811
13,0.1540564364512134,0.94381094,0.16715125277057039,0.9496354
14,0.15375730320423275,0.94387764,0.16215057407771402,0.95372206
15,0.15354259138300413,0.9439435,0.1607657462289608,0.9529615
16,0.15358212065081506,0.94394183,0.16340896596928656,0.9501586
