cloud_cover,training_time
<<<<<<< HEAD
10.0,0.4440752506256104
20.0,0.4268037398656209
30.0,0.48502044280370077
40.0,0.30076507329940794
50.0,0.3855165998140971
60.0,0.4327956557273865
70.0,0.5032408754030864
80.0,0.5818674604098002
90.0,0.5899596095085144
=======
10.0,0.6169457117716471
20.0,0.9353236714998882
30.0,0.41023052533467613
40.0,0.3346948862075806
50.0,0.2906835953394572
60.0,0.47558906078338625
70.0,0.5271445473035177
80.0,0.7436370650927225
90.0,0.5013731519381205
>>>>>>> 5b92917968e61daf1b0f56b84625eff535b533fe
