epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.07995472025203505,0.9779542,0.031762177070612484,0.99507976
1,0.04200988145530914,0.98562926,0.028378074577600398,0.9952328
2,0.041333374045510254,0.9857685,0.026867914259774563,0.99509174
3,0.04080596832866446,0.9858698,0.024395593294398128,0.9949373
4,0.04022689954757372,0.98597723,0.022251937989387953,0.99504894
5,0.039839960357416056,0.9859991,0.024083327687625267,0.9946998
6,0.039582631818194,0.9860406,0.022456410307542213,0.99497896
7,0.039421819968253634,0.9860485,0.02182213128352159,0.99500656
8,0.03934943099420481,0.9860167,0.02081428575133719,0.99502754
9,0.03924688280363678,0.9860487,0.019968241431238917,0.9949714
10,0.0392053940109697,0.98602474,0.021720732459897286,0.9948796
11,0.03912608944858823,0.9860285,0.021285168517448355,0.99489886
12,0.039031469074366186,0.9860714,0.019602193903867766,0.99488074
13,0.038968387140660636,0.986075,0.022615782615054394,0.994728
14,0.03891009153074434,0.98608863,0.02143738983354602,0.99472696
15,0.03888619539291737,0.98607606,0.021691059631809152,0.9948245
16,0.03883676533771443,0.98607916,0.02082943765260324,0.9948499
17,0.03880772460726053,0.9860607,0.0223278973155811,0.99486333
18,0.0387838780629203,0.98609734,0.021685257461034325,0.99481183
19,0.038729084829079545,0.98609453,0.021370102457051624,0.9947146
20,0.03870022387304904,0.9860821,0.020175795957394323,0.99497026
21,0.03866483179600932,0.98606515,0.021312143798519805,0.9949801
22,0.038614632728472306,0.9860866,0.022202740216346387,0.9947179
