epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.1402954539382361,0.9600593,0.032089200248395684,0.99481064
1,0.04412567119597954,0.9856472,0.037430890789937,0.9938676
2,0.043022036122788335,0.98571414,0.03595144472359991,0.9944695
3,0.04256765226676108,0.9857468,0.030450301782738567,0.99454033
4,0.04199514953429138,0.9858027,0.03305636709898781,0.99370694
5,0.0414430988491218,0.9858406,0.04176093376137264,0.9927161
6,0.040978609491065486,0.9858754,0.04407508457505573,0.9924882
7,0.04062603416889359,0.9858758,0.046625954834349136,0.9924747
8,0.04039646392369794,0.9858826,0.04994303244063153,0.9921372
9,0.04002075544699824,0.9858864,0.04967041807733643,0.99210244
10,0.03966677567146513,0.9859392,0.05005961902979615,0.99190795
11,0.03933546469113979,0.9859835,0.047394160939168914,0.9921706
12,0.03906527428687483,0.986092,0.05086599879377636,0.991968
13,0.03880996906029269,0.9862461,0.04660928995647269,0.99214983
