epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.207093857031127,0.947839,0.09811564803627827,0.9743083
1,0.043720999221070776,0.9897649,0.09114517747049637,0.97509634
2,0.042210335119109994,0.9898376,0.0913545854798947,0.9749924
3,0.04173798041191535,0.9898678,0.08918219822755312,0.975585
4,0.041466240681612296,0.9898736,0.08967129900556478,0.97506046
5,0.04123623429305886,0.9898975,0.09054765269549135,0.97491693
6,0.04111574523263693,0.98987997,0.08926734931096407,0.975079
7,0.040983141986794216,0.9898975,0.08916761930172346,0.9752238
8,0.040908221732467644,0.9898975,0.08876467137363246,0.97525966
9,0.040791353476051145,0.9899054,0.08923060237121123,0.97498006
10,0.04068650135568836,0.9899086,0.09009963869565554,0.974625
11,0.04062764227111118,0.98988897,0.08915340393054812,0.97517055
12,0.04053242376377277,0.98993456,0.08927562169828317,0.9749021
13,0.04044753882099523,0.9899054,0.08935957088259192,0.9748489
