epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.4287425363092457,0.85911626,0.23167109718609008,0.95384306
1,0.2154598696650661,0.9311856,0.17433540885895873,0.9412183
2,0.1833314135250059,0.93376917,0.17195107259392745,0.94395876
3,0.17506773244826349,0.93538654,0.15590907550307076,0.95600086
4,0.17208746640330078,0.93613064,0.15602235685947233,0.9568177
5,0.17043000618671836,0.93652964,0.15412710520668813,0.9564166
6,0.16930813706337158,0.9368609,0.15484113840517766,0.95660985
7,0.1683231531441372,0.93713826,0.15391184624483273,0.9557813
8,0.16791109989818176,0.9373992,0.15308936822245192,0.9561531
9,0.16746240363721915,0.9373553,0.15356448713583415,0.9565981
10,0.16686328871379347,0.93755984,0.15390710453925804,0.9565425
11,0.16652418132110747,0.93765146,0.15372237809543035,0.95593643
12,0.16593911105786302,0.93779576,0.15560173282025708,0.95606524
13,0.16544598041644884,0.9378723,0.15622045656914577,0.95486486
14,0.16493744477610497,0.93793625,0.15867040734824495,0.95599794
15,0.16451753675522565,0.93811697,0.1551689786030525,0.95473015
16,0.1641173708596195,0.93806803,0.1535003673900049,0.9552455
