epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.21159186966089305,0.9442297,0.0929346830803413,0.9748109
1,0.04187488859041491,0.9900259,0.08748752246980221,0.9768971
2,0.038792249727794825,0.9902166,0.08376414218371962,0.97694856
3,0.03727212147880721,0.9903404,0.08295488166857713,0.9768289
4,0.03651748092829977,0.99046844,0.08379889726875818,0.9757368
5,0.036112277373106384,0.99052954,0.08471476148180934,0.9739968
6,0.03580851895517573,0.9905719,0.0878060037619898,0.96907747
7,0.03558781654208877,0.9906207,0.08681774856365898,0.97074133
8,0.03544301703418457,0.9906071,0.08788369534617092,0.9703852
9,0.035264600041645076,0.9906317,0.08517474627712826,0.9734201
10,0.03518625637328713,0.990627,0.08879453420302252,0.97024775
11,0.03507011719214815,0.990605,0.08756174655500877,0.9709342
12,0.03497578170972882,0.9906313,0.09576758253361804,0.9625903
