epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.38722054757138896,0.8946909,0.163230605204748,0.99279016
1,0.07801669176046568,0.9932984,0.05494709029325292,0.99323606
2,0.03403779948429352,0.99424,0.02874651114889377,0.9947399
3,0.023091557095495308,0.99455667,0.024542663693183583,0.99444693
4,0.019540113651323774,0.99469477,0.0277244030281891,0.99405307
5,0.018438472141318187,0.99476314,0.03199453022726813,0.99232143
6,0.018023084794110973,0.9947882,0.037238295829197784,0.98845446
7,0.017745924236483076,0.9948036,0.046853905830886555,0.9796822
8,0.017556537537141714,0.9948259,0.05010115623773679,0.97695446
9,0.01743169335433628,0.9948538,0.06158336173616634,0.9698553
10,0.01733830057565764,0.9948078,0.05980752124128219,0.9707211
11,0.017248789400321603,0.9948873,0.07507857439374543,0.9630751
12,0.0171348767593779,0.9948873,0.0724497893938126,0.96484584
13,0.017096806058075606,0.9948343,0.07357499754031756,0.9646082
